test_accuracy,test_loss,time
0.45,268.0724954271982,229.79917407035828
0.5,11.440741550176922,224.52348566055298
0.48333332,70.46331720274927,193.80044221878052
0.51666665,7.038293167793101,202.76448392868042
0.48333332,11.238182858872733,123.90909934043884
0.41666666,1095.1569748538634,142.76047015190125
0.46666667,185.18099896926816,150.62917304039001
0.65333334,13.540033664052801,205.09253907203674
0.31666666,54.61168176703918,211.09528231620789
0.51666665,25.117511921659425,209.2523546218872
0.53333336,11.387917106894406,184.11540985107422
