test_accuracy,test_loss,time
0.78333336,5.36308693818202,449.98494267463684
0.5833333,1.3526601930439999,372.76494097709656
0.78333336,0.7953188085427246,301.25045704841614
0.6333333,11.488729756781558,242.29277849197388
0.5833333,28.290870375721262,238.760760307312
0.41666666,9.891033141695413,229.03072547912598
0.53333336,28.78622824896463,232.44499492645264
0.55,23.99739925685652,329.2428243160248
0.8333333,0.6978248958098457,320.7491924762726
0.6666667,25.107329529436456,380.977263212204
0.6666667,1.5424919622710729,391.1189343929291
0.68333334,0.872644487713842,250.90235948562622
